Developer,Publisher,Genres,Product Rating,User Ratings Count,Best-seller,year
Kite Games,Kalypso,Real-Time Strategy,Rated T For Teen,75.0,1,2017
Screwtape Studios,Screwtape Studios,2D Platformer,Rated E +10 For Everyone +10,5.0,0,2019
Deep Silver,Koch Media,Space Combat Sim,Rated T For Teen,21.0,0,2018
"Mobius Digital, LLC",Annapurna Interactive,Open-World Action,Rated E +10 For Everyone +10,925.0,1,2019
Video System,Eidos Interactive,Auto Racing Sim,Rated E For Everyone,11.0,0,2000
CI Games,CI Games,Tactical FPS,Rated M For Mature,90.0,0,2021
Sonic Team,Sega,3D Platformer,Rated E +10 For Everyone +10,860.0,0,2006
Matrix Software,Ignition Entertainment,JRPG,Rated E +10 For Everyone +10,8.0,0,2009
Core Design Ltd.,Eidos Interactive,Action Adventure,Rated T For Teen,97.0,0,2003
Player X,Capy Games,Puzzle,Rated E For Everyone,25.0,0,2009
From Software,Agetec,Survival,Rated T For Teen,14.0,1,2004
Flying Wild Hog,Flying Wild Hog,FPS,Rated M For Mature,374.0,0,2011
Mojang AB,Xbox Game Studios,Real-Time Strategy,Rated E +10 For Everyone +10,109.0,0,2023
Bandai Namco Games,Bandai Namco Games,Arcade,Rated E For Everyone,45.0,0,2016
HAL Labs,Nintendo,2D Fighting,Rated E For Everyone,37.0,1,2020
Codeglue,THQ,Action,Rated E For Everyone,5.0,0,2009
Rockstar San Diego,Rockstar Games,Open-World Action,Rated M For Mature,3055.0,1,2010
Yuke's,THQ,Wrestling,Rated T For Teen,67.0,1,2010
miHoYo,miHoYo,Action RPG,Rated T For Teen,1469.0,0,2020
Merge Games,No More Robots,Tycoon,Rated E +10 For Everyone +10,8.0,0,2022
Good-Feel,Nintendo,Party,Rated E +10 For Everyone +10,28.0,0,2011
Halfbrick Studios,Halfbrick Studios,Survival,Rated T For Teen,10.0,0,2010
Obsidian Entertainment,Bethesda Softworks,Western RPG,Rated M For Mature,67.0,1,2011
M2,Sega,2D Beat-'Em-Up,Rated E +10 For Everyone +10,62.0,1,2015
Spike,Namco Bandai Games,3D Fighting,Rated T For Teen,31.0,0,2009
Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,860.0,1,1998
Square Enix,Square Enix,MMORPG,Rated T For Teen,1014.0,1,2017
KCEK,Konami,3D Platformer,Rated T For Teen,67.0,0,1998
Inti Creates,Capcom,Compilation,Rated E For Everyone,77.0,1,2010
UFO Interactive,UFO Interactive,Action,Rated E +10 For Everyone +10,9.0,0,2012
Bulbware,Bulbware,Point-and-Click,Rated T For Teen,48.0,0,2017
Pelfast,Pelfast,Strategy,Rated E For Everyone,17.0,0,2009
Valkyrie Entertainment,SCEA,Real-Time Strategy,Rated T For Teen,57.0,0,2015
Malfador Machinations,Shrapnel Games,4X Strategy,Rated E For Everyone,17.0,0,2000
Ubisoft Quebec,Ubisoft,Open-World Action,Rated M For Mature,84.0,0,2015
Iron Galaxy Studios,Microsoft Game Studios,Action,Rated E +10 For Everyone +10,17.0,0,2012
Twin Hearts,PQube,Action RPG,Rated E +10 For Everyone +10,10.0,0,2021
Double Fine Productions,Majesco,3D Platformer,Rated T For Teen,97.0,1,2005
Vicarious Visions,Universal Interactive,2D Platformer,Rated E For Everyone,87.0,1,2002
Nival Interactive,cdv Software,Real-Time Tactics,Rated T For Teen,39.0,0,2005
Paradox Development,Eidos Interactive,Wrestling,Rated M For Mature,8.0,0,2004
Camel 101,Camel 101,First-Person Adventure,Rated M For Mature,44.0,0,2020
DYA Games,DYA Games,Adventure,Rated T For Teen,10.0,0,2018
Red Barrels,Red Barrels,Survival,Rated M For Mature,53.0,1,2018
Maxis,Electronic Arts,Virtual Life,Rated T For Teen,5.0,0,2023
Nintendo Software Technology,Nintendo,2D Platformer,Rated E For Everyone,30.0,1,2010
Sony Interactive Entertainment,Sony Interactive Entertainment,Future Racing,Rated E +10 For Everyone +10,334.0,1,2017
Playlogic,Playlogic,3D Platformer,Rated M For Mature,12.0,0,2009
Honey Parade Games,XSEED Games,Arcade Racing,Rated T For Teen,17.0,0,2020
Sanzaru Games,Nintendo,Hidden Object,Rated E For Everyone,7.0,0,2011
Imageepoch,Ignition Entertainment,JRPG,Rated T For Teen,46.0,1,2010
Telltale Games,Telltale Games,Third-Person Adventure,Rated E For Everyone,36.0,0,2011
Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,53.0,0,2011
DreamCatcher Interactive,DreamCatcher Interactive,Tycoon,Rated M For Mature,7.0,0,2002
CCP,CCP,FPS,Rated T For Teen,225.0,0,2013
Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,216.0,1,2015
Vicarious Visions,Activision,Compilation,Rated E +10 For Everyone +10,1498.0,1,2017
CyberConnect2,Capcom,Action Adventure,Rated T For Teen,181.0,0,2012
Gravity,CFK,2D Beat-'Em-Up,Rated T For Teen,60.0,0,2013
Nippon Ichi Software,NIS America,2D Platformer,Rated T For Teen,17.0,1,2017
Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,154.0,0,2012
Tiny Roar,Assemble Entertainment,Open-World Action,Rated T For Teen,5.0,0,2022
Gust,Koei Tecmo Games,JRPG,Rated T For Teen,68.0,1,2021
Media.Vision,GAIJINWORKS,Turn-Based Tactics,Rated T For Teen,20.0,0,2017
Midway,Midway,Third Person Shooter,Rated M For Mature,19.0,0,2004
Tom Hegarty,roll7,Skating,Rated E For Everyone,58.0,1,2014
Gunfire Games,Perfect World Entertainment,Third Person Shooter,Rated M For Mature,507.0,0,2019
Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,61.0,0,2017
Global A,Natsume,RPG,Rated E +10 For Everyone +10,10.0,0,2009
Frogwares,Frogwares,First-Person Adventure,Rated M For Mature,91.0,0,2021
SCE Japan Studio,SCEA,Action RPG,Rated M For Mature,151.0,1,2014
Shift,Bandai Namco Games,Action RPG,Rated T For Teen,87.0,0,2016
Capcom,Capcom,2D Platformer,Rated E +10 For Everyone +10,211.0,0,2018
Titan Forge Games,Hi-Rez Studios,MOBA,Rated T For Teen,154.0,0,2015
Cryptic Studios,Atari SA,MMORPG,Rated T For Teen,73.0,0,2009
Namco Bandai Games,Namco Bandai Games,Arcade,Rated E For Everyone,6.0,0,2007
Hudson,Majesco,Action Adventure,Rated E For Everyone,20.0,1,2002
Dark Point Games,Dark Point Games,Action RPG,Rated T For Teen,15.0,0,2023
Konami,Konami,Card Battle,Rated E For Everyone,8.0,1,2005
SSI,SSI,Turn-Based Tactics,Rated E For Everyone,10.0,0,2000
Queen Bee Games,Akupara Games,2D Platformer,Rated E For Everyone,13.0,1,2020
Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,99.0,1,2019
Capcom,Capcom,Linear Action Adventure,Rated M For Mature,138.0,1,2020
Kuju Entertainment,Electronic Arts,Train Sim,Rated E For Everyone,5.0,0,2008
EA Redwood Shores,Electronic Arts,Third Person Shooter,Rated M For Mature,790.0,1,2008
Blitz Games,505 Games,Athletics,Rated E For Everyone,7.0,0,2011
Ubisoft Paris,Ubisoft,Open-World Action,Rated M For Mature,1098.0,0,2019
Intelligent Systems,Nintendo,Puzzle,Rated E For Everyone,11.0,0,2007
343 Industries,Microsoft Game Studios,FPS,Rated M For Mature,700.0,1,2011
Mass Media,SCEA,Compilation,Rated T For Teen,254.0,1,2012
nDreams,nDreams,FPS,Rated M For Mature,8.0,1,2020
Midway Studios - Austin,Midway,FPS,Rated M For Mature,11.0,0,2005
EA Sports,EA Sports,Football Sim,Rated E For Everyone,59.0,0,2011
Climax Studios,Konami,Survival,Rated M For Mature,201.0,1,2009
Maxis,EA Games,Virtual Life,Rated T For Teen,14.0,0,2006
Bandana Kid,Bandana Kid,3D Platformer,Rated E For Everyone,9.0,0,2019
Hit Maker,NIS America,JRPG,Rated T For Teen,23.0,0,2010
"Nike, Inc.",Microsoft Game Studios,Sports,Rated E For Everyone,20.0,0,2012
Nd Cube,NEC Interchannel,Future Racing,Rated E For Everyone,6.0,1,2003
Nintendo,Nintendo,2D Platformer,Rated E For Everyone,437.0,0,2019
BioWare,Electronic Arts,Action RPG,Rated M For Mature,4019.0,0,2012
Sandlot,XSEED Games,Third Person Shooter,Rated T For Teen,24.0,1,2015
Sanzaru Games,Sega,2D Platformer,Rated E +10 For Everyone +10,169.0,0,2016
Otomate,Aksys Games,Visual Novel,Rated T For Teen,53.0,1,2015
Capcom,Capcom,2D Fighting,Rated T For Teen,55.0,0,2011
Mike Bithell,Good Shepherd Entertainment,Turn-Based Tactics,Rated M For Mature,59.0,0,2019
Harmonix Music Systems,MTV Games,Rhythm,Rated T For Teen,81.0,1,2008
Nintendo,Nintendo,Stacking Puzzle,Rated E For Everyone,49.0,0,2006
Hermes Interactive,Team17,Tycoon,Rated E For Everyone,6.0,0,2019
Egosoft,Atari SA,Space Combat Sim,Rated T For Teen,154.0,1,2008
"Voltex, Inc.",Konami,Action,Rated E For Everyone,7.0,0,2008
Gameloft,Gameloft,2D Platformer,Rated E +10 For Everyone +10,17.0,1,2010
Stormregion,Deep Silver,Turn-Based Strategy,Rated T For Teen,10.0,1,2009
Nixxes Software,PlayStation PC,Open-World Action,Rated T For Teen,1190.0,1,2022
Double Fine Productions,Double Fine Productions,2D Platformer,Rated E For Everyone,41.0,0,2014
AOne Games,AOne Games,2D Fighting,Rated T For Teen,70.0,0,2018
Pandemic Studios,Electronic Arts,Open-World Action,Rated M For Mature,111.0,1,2009
Black Hole Games,Namco Bandai Games,Real-Time Strategy,Rated M For Mature,10.0,0,2008
Vigil Games,THQ,Open-World Action,Rated M For Mature,584.0,1,2012
CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,3434.0,1,2015
Nerial,Devolver Digital,Adventure,Rated E +10 For Everyone +10,25.0,1,2022
Harmonix Music Systems,SCEA,Rhythm,Rated E For Everyone,9.0,0,2001
TT Games,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,184.0,0,2016
Wish Studios,Wish Studios,Party,Rated T For Teen,52.0,0,2017
ApolloSoft,NIS America,Action RPG,Rated T For Teen,25.0,1,2014
Infuse Studio,Merge Games,Third-Person Adventure,Rated E For Everyone,28.0,0,2020
BlueTwelve Studio,Annapurna Interactive,Action Adventure,Rated E +10 For Everyone +10,2305.0,1,2022
Funcom,Funcom,MMORPG,Rated T For Teen,12.0,1,2004
Team Ninja,Koei Tecmo Games,Action RPG,Rated M For Mature,98.0,1,2017
Sandlot,D3Publisher,Third Person Shooter,Rated T For Teen,43.0,1,2018
Spike Chunsoft,Nintendo,Roguelike,Rated E For Everyone,191.0,0,2013
Capcom,Capcom,Visual Novel,Rated T For Teen,109.0,1,2010
Acquire,Square Enix,JRPG,Rated T For Teen,248.0,1,2023
Falcom,NIS America,JRPG,Rated T For Teen,215.0,1,2019
Success,Atlus,Western RPG,Rated E +10 For Everyone +10,9.0,1,2009
Sprite,PQube,Visual Novel,Rated M For Mature,10.0,1,2020
Rare Ltd.,Microsoft Game Studios,Virtual Life,Rated E For Everyone,112.0,1,2006
Monolith Soft,Namco,JRPG,Rated T For Teen,74.0,0,2005
Sucker Punch,SCEA,Open-World Action,Rated T For Teen,937.0,0,2014
Steel Monkeys,Global Star Software,Auto Racing Sim,Rated E For Everyone,8.0,0,2004
Zen Studios,Microsoft Game Studios,Pinball,Rated E For Everyone,44.0,0,2013
Appaloosa Interactive,Sega,Action Adventure,Rated E For Everyone,19.0,1,2000
Best Way,Aspyr,Real-Time Tactics,Rated M For Mature,124.0,1,2009
Spry Fox,The Quantum Astrophysicists Guild,Virtual Life,Rated E +10 For Everyone +10,25.0,0,2021
"Entersphere, Inc.",Square Enix,Real-Time Strategy,Rated M For Mature,29.0,0,2012
Rival Interactive,Simon & Schuster,Real-Time Strategy,Rated T For Teen,6.0,0,2002
WayForward,D3Publisher,Open-World Action,Rated E +10 For Everyone +10,67.0,0,2012
Joseph Gribbin,Super Rare Games,2D Platformer,Rated E For Everyone,6.0,0,2022
Koei,Koei,Turn-Based Strategy,Rated E For Everyone,7.0,1,2004
Ty Taylor and Mario Castaneda,The Quantum Astrophysicists Guild,Stacking Puzzle,Rated E For Everyone,6.0,0,2016
SquareSoft,Square EA,Action RPG,Rated E For Everyone,36.0,1,1998
SCE Japan Studio,Ubisoft,3D Platformer,Rated E For Everyone,43.0,1,2003
"Seed Studios, Lda","Seed Studios, Lda",Real-Time Strategy,Rated E +10 For Everyone +10,34.0,0,2011
Krome Studios,Ubisoft,Strategy,Rated T For Teen,66.0,0,2015
Irem,Eidos Interactive,Horizontal Shoot-'Em-Up,Rated E For Everyone,26.0,1,2004
Cardboard Robot Games,Chucklefish,2D Fighting,Rated T For Teen,17.0,1,2018
Tamsoft,Idea Factory,Action RPG,Rated T For Teen,8.0,1,2022
Io Interactive,Square Enix,Action Adventure,Rated M For Mature,21.0,1,2012
Team Soho,SCEA,Action Adventure,Rated M For Mature,67.0,1,2003
Delve Interactive,Rising Star Games,2D Platformer,Rated E For Everyone,7.0,0,2015
WSS Playground,Playism,Metroidvania,Rated E +10 For Everyone +10,10.0,1,2021
Giant Sparrow,SCEA,First-Person Adventure,Rated E +10 For Everyone +10,125.0,1,2012
WinkySoft,Konami,Card Battle,Rated E For Everyone,32.0,1,2004
Milestone S.r.l,Namco Bandai Games,Auto Racing Sim,Rated E For Everyone,19.0,0,2013
Take-Two Interactive,Take-Two Interactive,Party,Rated E For Everyone,7.0,0,2011
EA Sports,Electronic Arts,Golf Sim,Rated E For Everyone,11.0,1,2010
Sick Puppies,Empire Interactive,Real-Time Strategy,Rated T For Teen,92.0,1,2003
5TH Cell,Warner Bros. Interactive Entertainment,Action Puzzle,Rated E +10 For Everyone +10,47.0,0,2013
Clap Hanz,SCEA,Golf,Rated E +10 For Everyone +10,11.0,0,2005
SCE Japan Studio,SCEA,2D Platformer,Rated E For Everyone,58.0,1,2009
Media Molecule,Sony Interactive Entertainment,Sandbox,Rated T For Teen,1440.0,1,2020
TimeGate Studios,Atari SA,Real-Time Strategy,Rated T For Teen,18.0,1,2004
Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,12.0,1,2008
Nicalis,Nicalis,Top-Down Shoot-'Em-Up,Rated M For Mature,639.0,1,2014
Frontier Developments,Konami,Action Adventure,Rated E For Everyone,31.0,0,2005
Sensory Sweep,Capcom,2D Fighting,Rated T For Teen,13.0,0,2006
Maxis,EA Games,Virtual Life,Rated T For Teen,21.0,0,2003
Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,66.0,1,2011
Yuke's,2K Games,Wrestling,Rated T For Teen,180.0,0,2018
Crocodile Entertainment,Crocodile Entertainment,2D Platformer,Rated E For Everyone,19.0,1,2012
Raven Software,Activision,FPS,Rated T For Teen,81.0,1,2000
Blindflug Studios,Blindflug Studios,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,16.0,0,2018
MichaelArts,MichaelArts,Action Puzzle,Rated T For Teen,8.0,0,2015
From Software,Activision,JRPG,Rated T For Teen,14.0,1,2002
Ubisoft,Ubisoft,Aircraft Combat Sim,Rated T For Teen,32.0,0,2010
TimeGate Studios,TimeGate Studios,FPS,Rated T For Teen,65.0,1,2011
Sports Interactive,Sega,Soccer Management,Rated E For Everyone,97.0,1,2010
Valve Software,Valve Software,FPS,Rated E +10 For Everyone +10,1765.0,1,2011
Black Forest Games,UFO Interactive,2D Platformer,Rated E For Everyone,142.0,0,2017
Epic Games,Midway,FPS,Rated M For Mature,17.0,0,2008
Appeal Studios,Nacon,Action Adventure,Rated T For Teen,5.0,0,2023
SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,89.0,1,2011
Glass Bottom Games,Glass Bottom Games,Skating,Rated T For Teen,8.0,0,2021
Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,77.0,1,2016
Spearhead Games,Spearhead Games,First-Person Adventure,Rated T For Teen,42.0,1,2018
PlatinumGames,Activision,Linear Action Adventure,Rated T For Teen,117.0,0,2014
Square Enix,Square Enix,JRPG,Rated T For Teen,863.0,0,2012
Vicarious Visions,Universal Interactive,Auto Racing,Rated E For Everyone,130.0,1,2003
Tri-Ace,Square Enix,Action RPG,Rated T For Teen,49.0,0,2017
Griptonite Games,Ubisoft,Open-World Action,Rated M For Mature,139.0,0,2009
Ruari O'Sullivan,Alliance,Open-World Action,Rated E +10 For Everyone +10,6.0,0,2019
Zindagi Games,SCEA,Athletics,Rated E +10 For Everyone +10,126.0,1,2010
Pseudo Interactive,Sega,Vehicle Combat Sim,Rated T For Teen,13.0,1,2006
Corecell Technology,Corecell Technology,Action Adventure,Rated T For Teen,18.0,0,2019
Obsidian Entertainment,Ubisoft,RPG,Rated M For Mature,2393.0,1,2014
Maxis,EA Games,Virtual Life,Rated T For Teen,23.0,0,2002
Shin'en,Majesco,Vertical Shoot-'Em-Up,Rated E For Everyone,5.0,0,2008
ZeniMax Media,Bethesda Softworks,MMORPG,Rated M For Mature,22.0,0,2021
Frima Studio,Kalypso,Turn-Based Strategy,Rated M For Mature,85.0,0,2021
Hudson Soft,Konami,Action Adventure,Rated T For Teen,6.0,0,2006
Alawar Premium,Alawar Premium,Simulation,Rated E For Everyone,5.0,1,2020
KCE Studios,Konami,3D Beat-'Em-Up,Rated E For Everyone,27.0,0,2003
Silver Wish Games,2K Play,Adventure,Rated E For Everyone,6.0,0,2009
Funatics,GMX Media,Real-Time Strategy,Rated T For Teen,17.0,1,2004
Curly Monsters,Microsoft Game Studios,Future Racing,Rated T For Teen,10.0,1,2002
Capcom,Capcom,Turn-Based Tactics,Rated T For Teen,10.0,1,2003
Rainbow Studios,THQ,Arcade Racing,Rated E For Everyone,10.0,0,2003
Bethesda Softworks,Bethesda Softworks,Western RPG,Rated T For Teen,151.0,1,2002
Team Gotham,505 Games,First-Person Adventure,Rated M For Mature,30.0,0,2016
CreativeForge Games,Good Shepherd Entertainment,Turn-Based Strategy,Rated M For Mature,128.0,0,2018
Paradox Development Studio,Paradox Interactive,Real-Time Strategy,Rated T For Teen,231.0,1,2010
The Dangerous Kitchen,Chorus Worldwide,2D Platformer,Rated E For Everyone,10.0,0,2017
Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,608.0,1,2001
Crytek,Crytek,Compilation,Rated M For Mature,71.0,1,2021
Team Ninja,Koei Tecmo Games,3D Fighting,Rated M For Mature,786.0,1,2019
Naughty Dog,Sony Interactive Entertainment,Action Adventure,Rated T For Teen,2533.0,1,2017
Nintendo,Nintendo,Marine Combat Sim,Rated E +10 For Everyone +10,35.0,0,2011
Kojima Productions,Konami,Action Adventure,Rated M For Mature,29.0,1,2008
SCE Japan Studio,SCEA,3D Platformer,Rated E For Everyone,116.0,1,1999
Capcom,Capcom,Adventure,Rated T For Teen,1695.0,1,2011
SCE Santa Monica,SCEA,Linear Action Adventure,Rated M For Mature,2472.0,1,2005
THQ Warrington,THQ,Third Person Shooter,Rated T For Teen,35.0,0,2011
Ensemble Studios,Microsoft Game Studios,Command RTS,Rated T For Teen,89.0,1,2006
Remedy Entertainment,Microsoft Game Studios,Action,Rated M For Mature,2315.0,0,2016
Ntreev Soft,Tomy Corporation,Golf,Rated E +10 For Everyone +10,17.0,0,2009
Ys Net,Deep Silver,Open-World Action,Rated T For Teen,1119.0,1,2019
Aqua Plus,Aqua Plus,Turn-Based Strategy,Rated M For Mature,63.0,1,2017
Midway,Midway,Football,Rated M For Mature,12.0,1,2008
BitFinity,BitFinity,Rhythm,Rated E For Everyone,6.0,1,2021
Riot Games,Riot Games,MOBA,Rated T For Teen,4869.0,0,2009
Rebellion,LucasArts,Third Person Shooter,Rated T For Teen,67.0,1,2007
Croteam,Nighthawk Interactive,First-Person Adventure,Rated T For Teen,277.0,1,2015
Nintendo,Nintendo,Third Person Shooter,Rated E +10 For Everyone +10,1446.0,1,2015
EA Sports,EA Sports,Auto Racing Sim,Rated E For Everyone,37.0,0,2002
Maxis,EA Games,Virtual Life,Rated T For Teen,23.0,1,2002
Rayark Inc.,Flyhigh Works,Top-Down Shoot-'Em-Up,Rated T For Teen,42.0,1,2017
Chronic Logic,GarageGames,2D Platformer,Rated T For Teen,45.0,0,2004
Digital Reality,Digital Reality,Auto Racing,Rated E For Everyone,10.0,0,2012
Ninja Studio,Atlus,Roguelike,Rated E +10 For Everyone +10,12.0,1,2007
Liquid Entertainment,Crave,Command RTS,Rated T For Teen,26.0,1,2002
Beamdog,Skybound Games,Western RPG,Rated M For Mature,20.0,0,2019
BreakAway Games,Sierra Entertainment,Management,Rated E For Everyone,14.0,0,2000
Cattle Call,Atlus,JRPG,Rated E +10 For Everyone +10,49.0,1,2018
Compile Heart,Idea Factory,JRPG,Rated T For Teen,25.0,0,2017
Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,98.0,1,2014
Eutechnyx,Namco,Auto Racing Sim,Rated T For Teen,18.0,0,2004
Flagship,Nintendo,Metroidvania,Rated E For Everyone,93.0,1,2004
Relic Entertainment,THQ,Real-Time Strategy,Rated M For Mature,147.0,1,2005
Blizzard Entertainment,Blizzard Entertainment,Action RPG,Rated M For Mature,1783.0,0,2014
Cinemax,Cinemax,Western RPG,Rated T For Teen,24.0,1,2014
Sonic Team,Sega,Card Battle,Rated T For Teen,12.0,1,2004
Criterion Games,Electronic Arts,Auto Racing Sim,Rated E +10 For Everyone +10,349.0,0,2012
Yuke's,THQ,Wrestling,Rated T For Teen,8.0,0,2000
The Farm 51,Nordic Games Publishing,FPS,Rated M For Mature,196.0,0,2012
Bongfish,Microsoft Game Studios,Auto Racing,Rated E +10 For Everyone +10,74.0,1,2013
Kerberos Productions,Kerberos Productions,Roguelike,Rated T For Teen,98.0,1,2013
D'Avekki Studios Limited,Wales Interactive,Adventure,Rated T For Teen,5.0,0,2018
Live Wire,Square Enix,Action RPG,Rated T For Teen,158.0,0,2022
NATSUME ATARI Inc.,Capcom,Compilation,Rated T For Teen,199.0,1,2014
PopCap,PopCap,Action Puzzle,Rated E For Everyone,50.0,0,2009
Tecmo,Tecmo,Survival,Rated M For Mature,26.0,1,2004
HAL Labs,Nintendo,2D Platformer,Rated E For Everyone,357.0,1,2014
Natsume,Bandai,2D Fighting,Rated T For Teen,8.0,0,2004
Sushee,Square Enix,RPG,Rated M For Mature,30.0,0,2018
Blizzard Entertainment,Activision,MMORPG,Rated T For Teen,2614.0,0,2020
MicroProse,Infogrames,Third Person Shooter,Rated T For Teen,13.0,0,2001
Quantic Dream,SCEA,Third-Person Adventure,Rated M For Mature,2944.0,1,2013
Goshow,Aksys Games,3D Fighting,Rated M For Mature,74.0,1,2010
Image & Form,Image & Form,Metroidvania,Rated E +10 For Everyone +10,152.0,1,2013
Yuke's,2K Sports,Wrestling,Rated T For Teen,188.0,0,2014
Namco,Namco,Auto Racing,Rated E For Everyone,34.0,1,2005
Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,112.0,1,2001
Housemarque,PlayStation Studios,Third Person Shooter,Rated T For Teen,4161.0,0,2021
Funcom,Fun Com,MMORPG,Rated T For Teen,34.0,0,2001
Bandai Namco Games,Bandai Namco Games,Rhythm,Rated E For Everyone,53.0,1,2018
Studio Zero,Atlus,Survival,Rated M For Mature,253.0,1,2019
Sting,Idea Factory,Turn-Based Tactics,Rated T For Teen,41.0,0,2015
Level 5,Nintendo,Puzzle,Rated E +10 For Everyone +10,193.0,1,2010
Frontier Developments,Frontier Developments,Real-Time Strategy,Rated T For Teen,11.0,0,2023
Navegante Entertainment,Sold Out,Metroidvania,Rated E +10 For Everyone +10,24.0,0,2021
Konami,Nintendo,2D Platformer,Rated E For Everyone,30.0,1,2004
Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,147.0,1,2016
Shaba Games,Activision,Biking,Rated E For Everyone,16.0,1,2001
Digital Illusions,Microsoft Game Studios,Auto Racing,Rated E For Everyone,18.0,1,2003
Coconut Island Games,Playism,Visual Novel,Rated T For Teen,6.0,1,2021
Cyan Worlds,Ubisoft,First-Person Adventure,Rated E For Everyone,21.0,0,2003
Bluehole Studio,En Masse Entertainment,MMORPG,Rated M For Mature,801.0,0,2012
Telltale Games,Telltale Games,Third-Person Adventure,Rated E +10 For Everyone +10,47.0,0,2009
Volition Inc.,THQ,Third Person Shooter,Rated M For Mature,95.0,0,2011
Rainbow Studios,THQ,Auto Racing,Rated E For Everyone,53.0,1,2006
Monte Cristo,cdv Software,Management,Rated E For Everyone,14.0,0,2006
Backbone Entertainment,Eidos Interactive,RPG,Rated E +10 For Everyone +10,10.0,1,2008
Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,130.0,1,2020
Ragequit Corporation,Ragequit Corporation,FPS,Rated M For Mature,20.0,0,2016
Double Fine Productions,Microsoft Game Studios,Defense,Rated T For Teen,91.0,1,2011
Bandai Namco Games,Namco Bandai Games,Compilation,Rated T For Teen,188.0,1,2014
Beamdog,Skybound Games,Compilation,Rated T For Teen,35.0,0,2019
Larian Studios Games,Focus Home Interactive,Western RPG,Rated M For Mature,634.0,1,2015
RailSimulator.com,RailSimulator.com,Train Sim,Rated E For Everyone,51.0,0,2011
Virtual Air Guitar Company,Virtual Air Guitar Company,3D Fighting,Rated T For Teen,11.0,0,2010
Christophe Galati,Limited Run Games,2D Platformer,Rated E For Everyone,6.0,0,2021
Terminal Reality,Gathering,Survival,Rated M For Mature,20.0,0,2000
h.a.n.d. Inc.,Nintendo,Virtual Life,Rated E For Everyone,8.0,0,2016
Nixxes Software,Square Enix,Linear Action Adventure,Rated T For Teen,182.0,0,2014
EA Black Box,Electronic Arts,Skating,Rated T For Teen,204.0,1,2010
Quantic Dream,Sony Interactive Entertainment,Third-Person Adventure,Rated M For Mature,6774.0,1,2018
Bec,Namco Bandai Games,Trainer RPG,Rated E +10 For Everyone +10,50.0,1,2006
Zoetrope Interactive,Lighthouse Interactive,Adventure,Rated T For Teen,21.0,0,2007
Argonaut Games,SCEA,3D Platformer,Rated E For Everyone,8.0,1,2000
IlluminationGames,IlluminationGames,Stacking Puzzle,Rated E +10 For Everyone +10,6.0,0,2019
New World Computing,3DO,Turn-Based Strategy,Rated E For Everyone,9.0,0,2001
Polygon Magic,Titus Software,Action,Rated T For Teen,16.0,1,2000
Telltale Games,Telltale Games,Compilation,Rated E For Everyone,8.0,0,2009
Io Interactive,Eidos Interactive,Third Person Shooter,Rated M For Mature,25.0,1,2004
PlatinumGames,Sega,3D Beat-'Em-Up,Rated M For Mature,120.0,1,2013
Barnaque,Nakana.io,Adventure,Rated T For Teen,12.0,1,2020
Konami,Konami,FPS,Rated T For Teen,17.0,0,2005
Le Cartel Studio,Devolver Digital,Party,Rated E +10 For Everyone +10,20.0,1,2019
Naked Sky Entertainment,Electronic Arts,Top-Down Shoot-'Em-Up,Rated E For Everyone,10.0,0,2010
Namco Bandai Games,Namco Bandai Games,3D Beat-'Em-Up,Rated M For Mature,83.0,1,2010
Beamdog,Beamdog,Western RPG,Rated T For Teen,143.0,1,2017
Rockstar Games,Rockstar Games,First-Person Adventure,Rated M For Mature,29.0,0,2017
Bandai Namco Games,Nintendo,3D Fighting,Rated E +10 For Everyone +10,298.0,0,2017
Forever Entertainment,Forever Entertainment,Turn-Based Tactics,Rated T For Teen,15.0,0,2023
Landon Podbielski,Adult Swim,2D Platformer,Rated E +10 For Everyone +10,38.0,1,2019
Sports Interactive,Sega,Soccer Management,Rated E For Everyone,98.0,0,2020
NuFX,EA Sports Big,Basketball,Rated E For Everyone,36.0,1,2001
Cavia Inc.,Ubisoft,Action RPG,Rated M For Mature,58.0,0,2006
2K Czech,2K Games,Open-World Action,Rated M For Mature,831.0,1,2010
Bohemia Interactive,Bohemia Interactive,Survival,Rated T For Teen,73.0,0,2019
