Developer,Publisher,Genres,Product Rating,User Ratings Count,Best-seller,year
EA Black Box,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,73.0,0,2007
Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,48.0,0,2015
Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,5.0,0,2021
Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,14.0,1,2019
Blastmode,Playism,2D Platformer,Rated E +10 For Everyone +10,13.0,1,2021
Avalanche Software,THQ,3D Platformer,Rated E For Everyone,12.0,1,2003
Cyanide,Atlus,Western RPG,Rated M For Mature,130.0,0,2012
Treasure,Sega,2D Fighting,Rated T For Teen,19.0,0,2007
Hitmaker,Sega,Auto Racing,Rated E +10 For Everyone +10,30.0,0,2010
Southend Interactive,Sierra Online,Turn-Based Tactics,Rated E +10 For Everyone +10,5.0,1,2008
Kheops Studio,MC2 Entertainment,Adventure,Rated E +10 For Everyone +10,11.0,0,2007
Massive Entertainment,Ubisoft,Open-World Action,Rated T For Teen,599.0,1,2023
Experiment 101,THQ Nordic,Action RPG,Rated T For Teen,508.0,0,2021
Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Rated T For Teen,112.0,1,2006
Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,11.0,0,2007
Gearbox Software,2K Games,Adventure,Rated M For Mature,72.0,0,2022
2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,10.0,0,2012
Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Rated M For Mature,169.0,0,2016
Reality Pump,SouthPeak Games,Action RPG,Rated M For Mature,150.0,0,2011
"Valuewave Co.,Ltd.",Capcom,JRPG,Rated E For Everyone,36.0,1,2004
Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,508.0,1,2000
Holospark,Holospark,Tactical FPS,Rated T For Teen,15.0,0,2018
Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Rated T For Teen,39.0,1,2007
Sperasoft,Deep Silver,Open-World Action,Rated M For Mature,111.0,0,2020
Double Fine Productions,Double Fine Productions,Action,Rated E +10 For Everyone +10,41.0,0,2017
Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,29.0,0,2005
Mass Media,Nintendo,Command RTS,Rated T For Teen,39.0,0,2000
Monte Cristo,Focus Home Interactive,Management,Rated E For Everyone,31.0,0,2009
Zen Studios,Microsoft Game Studios,Party,Rated E For Everyone,5.0,0,2008
Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,58.0,1,2017
CCP,Simon & Schuster,MMORPG,Rated T For Teen,307.0,0,2003
Namco,Namco,Auto Racing Sim,Rated E For Everyone,7.0,1,2003
Treyarch,Activision,Tactical FPS,Rated M For Mature,1910.0,0,2010
Intelligent Systems,Nintendo,Action Puzzle,Rated E For Everyone,217.0,1,2011
Nicalis,Nicalis,2D Platformer,Rated T For Teen,37.0,0,2014
PlatinumGames,Sega,Third Person Shooter,Rated M For Mature,1907.0,1,2010
Konami,Konami,Soccer Sim,Rated E For Everyone,43.0,0,2010
Monster Games Inc.,Nintendo,Auto Racing,Rated E For Everyone,16.0,0,2009
Valkyrie Studios,Monolith Productions,RPG,Rated T For Teen,74.0,1,1999
Raven Software,Activision,Action RPG,Rated T For Teen,113.0,1,2006
roll7,505 Games,Future Sport,Rated E +10 For Everyone +10,34.0,0,2018
"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Rated M For Mature,5.0,1,2016
KCEO,Konami,Open-World Action,Rated E For Everyone,48.0,1,1998
Bungie,Bungie,Real-Time Strategy,Rated M For Mature,101.0,1,1997
TeamKill Media LLC,TeamKill Media LLC,FPS,Rated M For Mature,63.0,0,2023
Hangar 13,2K Games,Open-World Action,Rated M For Mature,503.0,0,2020
Timberline Studio,Timberline Studio,Survival,Rated T For Teen,10.0,0,2020
JanduSoft,JanduSoft,2D Platformer,Rated E +10 For Everyone +10,7.0,0,2017
TOSE,Nintendo,JRPG,Rated E For Everyone,84.0,1,2006
Insomniac Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,35.0,0,2014
Ubisoft Montpellier,Ubisoft,Strategy,Rated E +10 For Everyone +10,90.0,1,2011
SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Rated T For Teen,31.0,0,2016
Phantagram,Microsoft Game Studios,Real-Time Strategy,Rated M For Mature,18.0,0,2005
Idol FX,Majesco,Third Person Shooter,Rated T For Teen,29.0,0,2003
Studio Saizensen,Agatsuma Entertainment,2D Platformer,Rated E For Everyone,13.0,1,2015
Other Ocean Interactive,Capcom,2D Platformer,Rated E For Everyone,7.0,0,2010
M2,Sega,2D Platformer,Rated E For Everyone,44.0,1,2020
Free Range Games,North Beach Games,Sandbox,Rated T For Teen,105.0,0,2023
Revolution Software,Ubisoft,Point-and-Click,Rated T For Teen,15.0,1,2009
Ubisoft Reflections,Ubisoft,Open-World Action,Rated E For Everyone,37.0,0,2016
Ready at Dawn,SCEA,Linear Action Adventure,Rated M For Mature,1047.0,1,2008
Rebellion,Sierra Entertainment,Action Adventure,Rated T For Teen,80.0,1,2007
Insomniac Games,SCEA,3D Platformer,Rated T For Teen,520.0,1,2002
Griptonite Games,THQ,Turn-Based Tactics,Rated E +10 For Everyone +10,43.0,1,2008
Elixir Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,11.0,0,2003
Clockwork Games,Acclaim,Auto Racing,Rated E For Everyone,11.0,1,2001
RED Entertainment,Sega,Third Person Shooter,Rated M For Mature,24.0,1,2002
ArenaNet,NCSOFT,MMORPG,Rated T For Teen,120.0,0,2022
LucasArts,LucasArts,Space Combat Sim,Rated T For Teen,23.0,1,2002
Motion Twin,Motion Twin,Metroidvania,Rated T For Teen,566.0,1,2018
"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Rated T For Teen,22.0,0,2016
Konami,Konami,Soccer Sim,Rated E For Everyone,44.0,0,2009
Milestone S.r.l,Milestone S.r.l,Auto Racing,Rated E For Everyone,96.0,0,2021
The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,28.0,0,2016
Gaijin Entertainment,SouthPeak Games,3D Beat-'Em-Up,Rated M For Mature,13.0,0,2009
Konami,Konami,Action Adventure,Rated T For Teen,36.0,1,2010
Sony Online Entertainment,LucasArts,MMORPG,Rated T For Teen,43.0,0,2003
Awaceb,Kepler Interactive,Open-World Action,Rated T For Teen,121.0,0,2023
Bandai Namco Games,Bandai Namco Games,Action Adventure,Rated E For Everyone,117.0,1,2018
2K Marin,2K Games,Tactical Third Person Shooter,Rated M For Mature,694.0,0,2013
Maxis,Electronic Arts,Virtual Life,Rated T For Teen,80.0,0,2018
Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,317.0,1,2018
Rockstar San Diego,Rockstar Games,Auto Racing Sim,Rated E +10 For Everyone +10,17.0,1,2005
LOOT Entertainment,LOOT Entertainment,Arcade,Rated E For Everyone,30.0,0,2015
Krome Studios,Sierra Entertainment,3D Platformer,Rated E +10 For Everyone +10,61.0,0,2007
PlatinumGames,Square Enix,Action RPG,Rated M For Mature,876.0,1,2019
Metanet Software Inc.,Metanet Software Inc.,2D Platformer,Rated E +10 For Everyone +10,69.0,0,2015
Pygmy Studio,Rising Star Games,Metroidvania,Rated T For Teen,28.0,1,2015
Artificial Mind and Movement,505 Games,Action,Rated T For Teen,39.0,0,2010
Avalanche Software,Disney Interactive Studios,Auto Racing,Rated E +10 For Everyone +10,38.0,1,2011
Vanpool,Nintendo,Action,Rated E +10 For Everyone +10,21.0,0,2013
Centauri Production,Got Game Entertainment,First-Person Adventure,Rated M For Mature,37.0,1,2009
Tikipod Limited,Tikipod Limited,Horizontal Shoot-'Em-Up,Rated E For Everyone,14.0,1,2018
Arkane Studios,Ubisoft,FPS,Rated M For Mature,505.0,1,2006
Frontier Developments,Microsoft Game Studios,Simulation,Rated E +10 For Everyone +10,227.0,0,2015
M2,Sega,Horizontal Shoot-'Em-Up,Rated E For Everyone,12.0,1,2020
The Chinese Room,Curve Digital,First-Person Adventure,Rated T For Teen,66.0,0,2016
Edge of Reality,Sega,Open-World Action,Rated T For Teen,19.0,0,2008
K2,XSEED Games,Action RPG,Rated E +10 For Everyone +10,8.0,0,2008
Acquire,SCEA,Strategy,Rated E +10 For Everyone +10,19.0,1,2010
Sumo Digital,Ubisoft,Auto Racing,Rated M For Mature,29.0,0,2007
Valve Software,Electronic Arts,Tactical FPS,Rated M For Mature,598.0,1,2009
Other Ocean Interactive,Other Ocean Interactive,Party,Rated E For Everyone,91.0,0,2015
Shiny Entertainment,Infogrames,Linear Action Adventure,Rated T For Teen,14.0,1,2003
CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,37.0,1,2022
Blue Tongue Entertainment,THQ,3D Platformer,Rated E +10 For Everyone +10,28.0,0,2011
Ubisoft Paris,Ubisoft,Tactical FPS,Rated T For Teen,112.0,1,2006
ChunSoft,Nintendo,Roguelike,Rated E For Everyone,163.0,1,2006
From Software,Sony Interactive Entertainment,Adventure,Rated T For Teen,88.0,1,2018
Daedalic Entertainment,Viva Media,Point-and-Click,Rated E For Everyone,91.0,0,2010
Team OFK,Team OFK,Adventure,Rated M For Mature,15.0,0,2022
Kojima Productions,Konami,Card Battle,Rated M For Mature,30.0,1,2006
Skyworks Technologies,DSI Games,Action Puzzle,Rated E For Everyone,5.0,0,2006
Zoe Mode,Zoe Mode,Stacking Puzzle,Rated E For Everyone,16.0,1,2011
Ambrella,Nintendo,Virtual Pet,Rated E For Everyone,28.0,0,2000
Take-Two Interactive,2K Games,Golf Sim,Rated E For Everyone,28.0,0,2022
Egosoft,Enlight Software,Space Combat Sim,Rated T For Teen,57.0,0,2005
Hazelight,Electronic Arts,Linear Action Adventure,Rated M For Mature,1118.0,1,2018
HAL Labs,Nintendo,2D Platformer,Rated E +10 For Everyone +10,580.0,0,2018
PopCap,PopCap,Action Puzzle,Rated E For Everyone,84.0,1,2009
Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Rated E For Everyone,117.0,0,2006
Savage Entertainment,LucasArts,Third Person Shooter,Rated T For Teen,55.0,1,2009
Griptonite Games,Sega,2D Platformer,Rated T For Teen,38.0,0,2011
Capcom,Capcom,Action Adventure,Rated M For Mature,77.0,1,2005
Blue Sky Studios,Outright Games,Action Adventure,Rated E For Everyone,23.0,0,2019
OSome Studio,Microids,Linear Action Adventure,Rated E +10 For Everyone +10,17.0,0,2021
Interceptor,Apogee Games,FPS,Rated M For Mature,238.0,0,2013
Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Rated T For Teen,41.0,0,2016
The Behemoth,The Behemoth,2D Beat-'Em-Up,Rated T For Teen,83.0,1,2015
Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,12.0,1,2009
Sports Interactive,Sega,Soccer Management,Rated E For Everyone,9.0,0,2004
Bandai Namco Games,Bandai Namco Games,Action,Rated E For Everyone,15.0,0,2009
Hexagon Entertainment,The Adventure Company,First-Person Adventure,Rated E For Everyone,5.0,0,2004
Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,16.0,1,2004
Retro Studios,Nintendo,FPS,Rated T For Teen,460.0,1,2007
NetherRealm Studios,Warner Bros. Games,2D Fighting,Rated M For Mature,1053.0,0,2023
Demiurge Studios,Ubisoft,Action,Rated M For Mature,41.0,0,2012
AREA35,AREA35,Turn-Based Tactics,Rated E +10 For Everyone +10,15.0,0,2017
EA DICE,EA Games,FPS,Rated M For Mature,113.0,1,2010
PlatinumGames,Sega,3D Beat-'Em-Up,Rated M For Mature,135.0,1,2009
